standard_whisky_name,nose,palate,finish,source_url,sweetness,smoky,fruity,spicy,body,tagline,menthol,abv,data_source
Glenallachie 12,"신선한 오크와 건포도, 다크프루트·블랙커런트, 코코아파우더와 초콜릿, 무화과·대추 느낌","술타나와 부드러운 스파이스, 바나나와 보리, 헤더꿀과 체리 리큐르의 단맛에 시나몬·넛맥·카다몬이 구조를 잡아줌","페퍼리하면서 벨벳같이 부드러운 오일감, 다크초콜릿과 오크의 드라이한 여운, 미디엄-롱",https://www.whiskyrant.com/glenallachie-12-year-old-single-malt-review/,4,1,4,3,4,다크프루트와 스파이스가 진하게 깔리는 헤비 셰리 스타일,1,46,curated
Yamazaki Distiller's Reserve,"과일향과 강한 바닐라·크렘브륄레, 딸기·체리, 미즈나라(일본 참나무) 향","라즈베리·백도, 미즈나라 오크 스파이스와 바닐라",달콤한 바닐라와 은은한 시나몬으로 깔끔하게 마무리,https://www.thewhiskeyshelf.com/yamazaki-single-malt-whisky/,3,1,4,2,2,미즈나라 오크의 은은한 개성이 살아있는 재패니즈 위스키 입문작,1,43,curated
Glenfiddich 12 Year Old,"배 통조림, 청사과, 꿀, 파이 크러스트 같은 가벼운 향에 버터스카치와 신선한 오크","사과 코블러, 과수원 과일, 바닐라, 카라멜, 쌉싸름한 오크, 시나몬","중간에서 짧은 편, 씁쓸달콤하고 멜론 같은 열대과일 여운",https://thewhiskeywash.com/reviews/whisky-review-glenfiddich-12-year-old/,3,1,4,1,2,전세계에서 가장 많이 팔리는 싱글몰트 — 가볍고 무난한 입문 정석,1,40,curated
Macallan 12 Sherry Oak,"건과일, 시트러스 필, 오크, 생강과 넛맥","건포도와 설타나, 생강 시럽, 계피 스파이스, 바닐라, 진한 셰리감",길고 오크와 따뜻한 생강향이 이어짐,https://thewhiskeywash.com/whiskey-styles/scotch-whiskey/whisky-review-macallan-12-year-old/,4,1,3,3,4,셰리 오크의 정석 — 프리미엄 셰리 싱글몰트의 기준점,1,43,curated
Laphroaig 10,"강렬한 스모키 피트, 요오드/소독약, 짠 바닷내음, 그을린 나무연기","해초, 바닐라 아이스크림, 소독약 느낌, 오크, 카다몬·후추 스파이스","미디엄-롱, 솔티드 카라멜, 가죽, 오크 탄닌, 요오드 여운",https://www.masterofmalt.com/whiskies/laphroaig-10-year-old-whisky/,1,5,1,3,4,호불호 극과극 — 요오드·소독약 향의 정통 아일라 피트 몬스터,1,40,curated
Ardbeg 10,"해안 피트 스모크, 해초, 요오드, 숯불, 레몬·자몽 시트러스","짜고 스모키, 잿불 피트에 바닐라 단맛, 시트러스, 맥아","미디엄-롱, 드라이하고 짠맛, 재·엠버, 후추 여운",https://thewhiskeywash.com/whiskey-styles/scotch-whiskey/whisky-review-ardbeg-10-year-old/,2,5,2,2,3,아일라 피트의 강자 — 스모키함 속 은은한 단맛의 밸런스,1,46,curated
Springbank (Unspecified),"밀크초콜릿, 콘플레이크, 헤더꿀에 망고·홍옥·카라멜, 은은한 피트 스모크","은은한 피트와 흙내음 배경에 넛맥·시나몬 스파이스, 바닐라·토피, 곡물의 단맛","미디엄-롱, 소금기와 점토·타임 느낌, 타르·담배 여운",https://whiskyanalysis.com/index.php/2016/08/02/springbank-10-year-old/,3,3,3,2,3,캠벨타운 전통 증류 방식의 상징 — 피트·과일·짠맛이 공존하는 개성파,1,,curated
Glenfarclas 25 Year Old,"진한 셰리 향에 로스트 피칸, 럼레이즌, 블랙체리, 토스트 코코넛과 꿀, 오렌지 마멀레이드","로스트넛과 토피, 라이트 메이플과 코코넛크림, 풀바디의 디저트 같은 술타나·무화과·다크초콜릿","오크와 후추, 넛맥·시나몬이 길게 이어지는 드라이하고 진한 여운",https://malt-review.com/2019/05/28/glenfarclas-15-21-and-25-year-old/,4,1,4,3,4,글렌파클라스 가문 셰리캐스크의 정수 — 진하고 클래식한 25년 셰리밤,1,43,curated
Laphroaig 15,"자몽·오렌지 제스트, 허브향, 크리미한 바닐라, 부드러운 오크와 아일라 피트 스모크","시솔트, 블랙페퍼, 시나몬, 잘 익은 복숭아·시트러스와 부드럽게 녹아든 피트",길고 스모키하며 은은한 짠맛과 부드러운 단맛의 여운,https://www.laphroaig.com/whiskies/15-year-old,2,4,2,2,3,10년보다 한층 부드러워진 아일라 — 시트러스와 피트의 우아한 조화,1,43,curated
Tamnavulin,"부드럽고 몰티한 향에 덜 익은 청사과, 복숭아 통조림, 배, 꿀·흑설탕·바닐라 토피",바닐라·몰트슈가·과수원 과일이 부드럽게 시작해 헤이즐넛·월넛 스파이스와 라이트 셰리감,"짧고 깔끔하게 흑설탕·바닐라로 마무리, 끝에 살짝 페퍼민트",https://whiskyforeveryone.com/tamnavulin-double-cask-scotch-whisky/,3,1,3,1,2,가볍고 무난한 가성비 스페이사이드 — 데일리로 부담없는 더블캐스크,3,40,curated
Hibiki Japanese Harmony,"달콤한 오크, 꿀, 레몬제스트·유자 시트러스, 복숭아, 은은한 꽃향","밝고 경쾌하게 시작해 부드럽게 이어짐, 캐러멜라이즈드 허니, 오렌지, 시나몬","짧은 편, 오크향 중심, 은은한 레몬 커스터드 여운",https://www.whiskynotes.be/2024/blends/hibiki-japanese-harmony/,3,1,4,1,2,화사한 꽃과 유자향의 재패니즈 블렌디드 — 부드러운 입문용 정석,1,43,curated
Macallan 18 Sherry Oak,"말린 과일과 생강, 바닐라 향이 묵직한 오크향과 함께 조화롭게 다가옵니다.","풍부한 건포도, 정향, 오렌지 껍질의 풍미가 묵직하고 크리미하게 입안을 채웁니다.","달콤한 말린 과일과 은은한 스파이스, 훈연 향이 길게 여운을 남깁니다.",,4,1,5,3,5,셰리 위스키의 정석이자 대체 불가능한 기준,1,43,ai_estimated
Glendronach 15,"다크 체리, 블랙베리와 함께 럼에 절인 건포도, 초콜릿 향이 진하게 피어오릅니다.","오렌지 마말레이드와 블랙커런트, 호두의 풍미가 진한 에스프레소 노트와 어우러집니다.",다크 초콜릿과 풍부한 셰리 여운이 입안에 오래도록 감돕니다.,,4,1,5,3,4,화려한 베리와 다크 초콜릿의 매혹적인 조화,1,46,ai_estimated
Glendronach 18,"농축된 자두, 무화과, 구운 견과류와 함께 은은한 가죽과 담뱃잎 향이 느껴집니다.","달콤한 꿀에 절인 과일, 스파이시한 오크, 브랜디에 적신 케이크의 풍미가 묵직합니다.",깊고 진한 셰리의 풍미가 오랜 시간 따뜻하게 여운을 남깁니다.,,4,1,5,3,5,"글렌드로낙의 전설, 깊고 진한 셰리의 정점",1,46,ai_estimated
Glendronach 21 Parliament,"익은 블루베리와 블랙베리, 자두 잼의 진한 과일향에 꿀과 허브 노트가 곁들여집니다.","오렌지, 초콜릿, 호두, 그리고 오랜 숙성에서 오는 부드러운 타닌과 스파이스가 돋보입니다.",복합적인 과일과 풍부한 오크의 여운이 끝없이 이어집니다.,,4,1,5,3,5,세월이 빚어낸 웅장하고 복합적인 셰리의 진수,1,48,ai_estimated
Octomore 14.1,"강렬한 피트 연기 속에서 풋사과, 시트러스, 바닐라 커스터드의 달콤함이 뿜어져 나옵니다.","폭발적인 스모크와 함께 꿀, 맥아, 페퍼민트, 바다 소금의 풍미가 묵직하게 들이닥칩니다.",압도적인 피트와 드라이한 오크의 여운이 아주 길고 강렬하게 남습니다.,,3,5,3,4,5,극한의 피트와 놀라운 섬세함의 공존,3,59,ai_estimated
Glenallachie 10 CS,"꿀, 건포도, 진한 다크 초콜릿 향에 오렌지 껍질과 생강의 스파이스가 강렬합니다.","버터스카치, 건자두, 모카 커피, 그리고 묵직한 오크의 풍미가 폭발적으로 다가옵니다.",달콤함과 스파이시함이 조화를 이루며 길고 진하게 여운을 남깁니다.,,5,1,4,4,5,도수를 뛰어넘는 폭발적인 단맛과 묵직함,1,57,ai_estimated
Glenallachie 8,"꿀, 바닐라, 신선한 사과와 함께 시나몬과 버터 스카치 향이 기분 좋게 피어오릅니다.","오렌지 제스트, 토피, 생강, 그리고 달콤한 건포도의 풍미가 활기차게 어우러집니다.",달콤한 과일과 부드러운 스파이스가 깔끔한 여운을 남깁니다.,,4,1,4,3,4,젊고 활기찬 글렌알라키의 시그니처 단맛,1,46,ai_estimated
Glenallachie 15,"진한 건포도, 버터스카치, 그리고 달콤한 바닐라 향이 묵직한 오크와 함께 다가옵니다.","바나나, 오렌지 껍질, 무화과, 그리고 진한 다크 초콜릿의 풍미가 크리미하게 퍼집니다.",다크 초콜릿과 따뜻한 스파이스의 여운이 길게 이어집니다.,,4,1,4,3,5,우아한 셰리와 초콜릿의 완벽한 밸런스,1,46,ai_estimated
Glenallachie 18,"말린 무화과, 대추야자, 진한 마지판과 함께 다크 초콜릿의 깊은 향이 느껴집니다.","버터스카치, 건포도, 민트, 그리고 잘 익은 과일의 풍미가 진하고 복합적으로 다가옵니다.",풍부한 과일과 오크의 여운이 부드럽고 길게 지속됩니다.,,4,1,4,3,5,연륜이 느껴지는 깊고 풍부한 셰리의 진수,3,46,ai_estimated
Glenallachie 25,"빈티지 마말레이드, 다크 초콜릿, 모카와 함께 오래된 오크의 고귀한 향이 감돕니다.","무화과, 대추, 파인애플, 그리고 시나몬과 진한 캐러멜의 복합적인 풍미가 환상적입니다.",끝없이 이어지는 달콤함과 우아한 스파이스의 긴 여운.,,5,1,5,3,5,마스터 블렌더의 노하우가 집약된 궁극의 셰리,1,48,ai_estimated
Ardbeg Uigeadail,"강렬한 피트 스모크와 함께 달콤한 흑설탕, 에스프레소, 건포도 향이 복합적으로 어우러집니다.","크리미한 질감 속에서 스모키함과 짭조름함, 토피, 그리고 진한 셰리의 단맛이 폭발합니다.","길고 스모키하며, 달콤하면서도 드라이한 여운이 깊게 남습니다.",,4,5,3,4,5,피트와 셰리의 거칠고도 아름다운 만남,1,54,ai_estimated
Ardbeg Corryvreckan,"강렬한 피트 연기와 함께 흑설탕, 다크 초콜릿, 그리고 잘 익은 자두와 같은 검은 과일 향이 뿜어져 나옵니다.","페퍼의 스파이시함이 입안을 때리며, 에스프레소, 크리미한 버터, 그리고 짭조름한 해초와 강한 피트가 층을 이룹니다.",스모크와 에스프레소의 여운이 길고 묵직하게 입안을 맴돕니다.,,2,5,3,5,5,소용돌이처럼 휘몰아치는 강렬한 피트의 진수,1,57.1,ai_estimated
Ardbeg Wee Beastie,"시트러스한 과일 향 뒤로 강렬하고 거친 피트 연기, 갓 구운 베이컨, 그리고 허브의 향이 직관적으로 다가옵니다.","초콜릿, 크레오소트, 그리고 타르의 풍미가 터져나오며 톡 쏘는 후추와 거친 스모크가 입안을 가득 채웁니다.",입안을 알싸하게 자극하는 스모키함과 짭조름한 여운이 길게 이어집니다.,,1,5,2,4,4,어리지만 거칠고 강렬한 5년 숙성 피트 몬스터,1,47.4,ai_estimated
Laphroaig 25,"세월이 빚어낸 은은한 피트 연기 속에서 달콤한 바닐라, 열대 과일, 그리고 고급스러운 오크 향이 조화롭게 피어납니다.","실크처럼 부드러운 텍스처와 함께 꿀, 배 같은 과일의 단맛과 라프로익 특유의 약초, 요오드, 짭조름한 미네랄이 완벽한 균형을 이룹니다.",우아한 스모크와 부드러운 단맛이 오랫동안 여운을 남깁니다.,,3,4,4,2,4,거친 피트가 25년의 세월을 만나 빚어낸 우아함,1,46.8,ai_estimated
Makers Mark,"밀(Wheat) 버번 특유의 부드럽고 달콤한 바닐라, 캐러멜, 그리고 은은한 오크 향이 친근하게 다가옵니다.","꿀, 버터, 그리고 설탕에 절인 과일의 달콤함이 입안을 감싸며 자극적이지 않고 부드러운 목 넘김을 선사합니다.",깔끔하고 달콤한 캐러멜의 여운이 기분 좋게 마무리됩니다.,,4,1,3,2,3,빨간 왁스 밀봉이 약속하는 부드러운 달콤함,1,45.0,ai_estimated
Johnnie Walker Double Black,"오리지널 블랙에 비해 더욱 강조된 진한 스모크와 피트 향, 그리고 건포도와 사과 같은 과일 향이 섞여 있습니다.","스모키한 피트 맛을 바탕으로 크리미한 바닐라, 정향, 그리고 진한 과일의 풍미가 묵직하게 어우러집니다.",스모키함과 은은한 스파이시함이 길고 진한 여운을 남깁니다.,,2,4,2,3,4,더 진하고 스모키하게 진화한 블랙의 무게감,1,40.0,ai_estimated
Johnnie Walker Green Label,"싱그러운 풀잎, 갓 자른 잔디 향과 함께 신선한 과일, 허브, 그리고 은은한 피트와 오크 향이 복합적으로 느껴집니다.","꿀과 과일의 단맛이 입안을 채우며, 쌉싸름한 다크 초콜릿과 스모크, 향신료의 풍미가 다채롭게 펼쳐집니다.",우드향과 은은한 스모크가 조화로운 여운을 선사합니다.,,3,3,4,3,4,15년 숙성 몰트 원액들만이 빚어낸 완벽한 조화,1,43.0,ai_estimated
Johnnie Walker Green 15,"싱그러운 풀잎, 갓 자른 잔디 향과 함께 신선한 과일, 허브, 그리고 은은한 피트와 오크 향이 복합적으로 느껴집니다.","꿀과 과일의 단맛이 입안을 채우며, 쌉싸름한 다크 초콜릿과 스모크, 향신료의 풍미가 다채롭게 펼쳐집니다.",우드향과 은은한 스모크가 조화로운 여운을 선사합니다.,,3,3,4,3,4,15년 숙성 몰트 원액들만이 빚어낸 완벽한 조화,1,43.0,ai_estimated
Johnnie Walker Gold Label,"달콤한 꿀, 바닐라, 그리고 크리미한 버터스카치 향과 함께 은은한 과일 향이 부드럽게 감쌉니다.",입안에서 부드럽게 녹아내리는 꿀과 바닐라의 풍미에 맥아의 고소함과 미세한 스모키함이 살짝 더해집니다.,달콤하고 크리미한 여운이 부드럽게 마무리됩니다.,,4,1,3,2,3,꿀처럼 부드럽고 화려하게 빛나는 황금빛 밸런스,1,40.0,ai_estimated
Johnnie Walker Red Label,"톡 쏘는 스파이시함과 함께 신선한 사과, 배 같은 과일 향과 가벼운 스모크 향이 어우러집니다.",시나몬과 후추 같은 향신료의 자극과 함께 가벼운 단맛과 곡물의 풍미가 직관적으로 다가옵니다.,알싸한 스파이시함과 드라이한 스모크가 짧고 깔끔하게 끝납니다.,,2,2,2,4,2,세계에서 가장 사랑받는 역동적인 스탠다드 위스키,1,40.0,ai_estimated
Glen Grant 15 Batch Strength,"풍부한 과일 향과 함께 꿀, 바닐라, 그리고 갓 구운 페이스트리의 달콤하고 고소한 향이 강렬하게 피어오릅니다.","배, 오렌지 껍질 같은 과일의 풍미와 함께 높은 도수에서 오는 묵직한 바디감, 그리고 기분 좋은 스파이스가 터집니다.",시트러스와 오크의 여운이 길고 따뜻하게 지속됩니다.,,3,1,5,4,5,원액 그대로의 폭발적인 과일 풍미와 묵직함,1,50.0,ai_estimated
Glen Grant 12,"신선한 사과, 배, 그리고 은은한 시트러스와 함께 달콤한 바닐라 향이 화사하게 다가옵니다.","부드러운 꿀, 사과 과즙의 단맛과 함께 은은한 아몬드 풍미가 가벼운 바디감과 함께 조화를 이룹니다.",깔끔하고 상쾌한 과일 향의 여운이 부드럽게 남습니다.,,3,1,4,2,2,과일과 꽃밭을 거니는 듯 화사하고 산뜻한 싱글몰트,1,43.0,ai_estimated
Suntory Special Reserve,"은은한 오크 향과 함께 바닐라, 과일, 그리고 미세한 피트의 뉘앙스가 차분하게 어우러집니다.",부드러운 곡물 단맛과 은은한 과일 풍미가 가볍고 마시기 편안하게 입안을 채웁니다.,깔끔하고 은은한 우디함이 부드러운 여운을 남깁니다.,,3,1,3,2,2,일본 위스키의 전통이 빚어낸 편안한 부드러움,1,40.0,ai_estimated
Nikka Frontier,상큼한 사과와 시트러스 계열의 과일 향에 쌉싸름한 피트 연기와 몰트의 고소함이 부드럽게 섞입니다.,"크리미한 질감 속에서 바닐라, 카라멜의 단맛과 함께 니카 특유의 개성 있는 피트와 스파이스가 조화를 이룹니다.",은은한 스모크와 과일의 단맛이 기분 좋게 맴돕니다.,,3,2,3,3,3,니카의 개성과 부드러움이 만나는 새로운 경계,1,48.0,ai_estimated
Black Nikka Rich Blend,"진한 캐러멜, 바닐라, 그리고 셰리 오크에서 오는 건포도와 같은 달콤하고 진득한 향이 감돕니다.","입안을 꽉 채우는 몰트의 고소함과 함께 초콜릿, 견과류, 그리고 풍부한 단맛이 묵직하게 다가옵니다.",달콤하고 스모키한 여운이 부드럽고 길게 이어집니다.,,4,2,3,2,4,이름처럼 풍성하고 진하게 채워지는 재팬 블렌디드,1,40.0,ai_estimated
Dalmore Cigar Malt Reserve,"말린 과일, 오렌지 마말레이드, 다크 초콜릿, 그리고 고급스러운 시가 박스를 연상시키는 묵직한 오크 향이 진하게 피어납니다.","꿀에 절인 과일, 토피, 그리고 에스프레소의 풍미가 묵직하고 강렬한 바디감과 함께 겹겹이 펼쳐집니다.",달콤한 초콜릿과 스파이스의 여운이 매우 길고 웅장하게 남습니다.,,4,1,4,4,5,시가와 함께할 때 완성이 되는 웅장한 풍미,1,44.0,ai_estimated
Evan Williams Black,"바닐라와 캐러멜의 달콤함이 지배적이며, 은은한 옥수수와 오크 향이 조화를 이룹니다.","설탕에 절인 과일, 꿀, 그리고 부드러운 스파이스가 입안을 감싸며 가볍고 마시기 편합니다.",달콤한 바닐라와 은은한 오크 여운이 깔끔하게 이어집니다.,,4,1,2,2,2,가성비와 맛을 모두 잡은 데일리 버번의 정석,1,43,ai_estimated
Early Times,"풋풋한 곡물 향과 함께 옥수수, 은은한 캐러멜, 그리고 옅은 바닐라 향이 느껴집니다.","가벼운 바디감과 함께 달콤한 옥수수 시럽, 약간의 풀 내음과 풋고추 같은 알싸함이 스칩니다.",약간의 곡물 단맛과 드라이한 오크 터치가 짧게 남습니다.,,3,1,1,3,2,부담 없이 즐기기 좋은 경쾌한 버번,1,40,ai_estimated
Ballantines 17,"크리미한 바닐라와 함께 잘 익은 사과, 꽃 향기가 어우러진 우아한 아로마가 특징입니다.","꿀처럼 달콤하고 부드러운 텍스처와 함께 오크, 은은한 스모크, 과일의 풍미가 완벽한 균형을 이룹니다.",꽃 향기와 은은한 스파이스가 깃든 길고 부드러운 여운을 선사합니다.,,3,2,3,2,3,블렌디드 위스키의 교과서 같은 밸런스,1,43,ai_estimated
Ballantines 21,"풍부한 꿀, 헤이즐넛, 그리고 잘 익은 서양배와 사과의 과일 향이 복합적으로 피어오릅니다.","벨벳처럼 부드러운 질감과 함께 감미로운 바닐라, 감귤류의 상큼함, 그리고 깊은 오크 터치가 느껴집니다.",오랜 숙성에서 오는 깊은 풍미와 달콤한 향신료의 여운이 길게 이어집니다.,,3,2,4,2,4,우아함과 복합미의 절정,1,43,ai_estimated
Ballantines 30,"농축된 꿀, 바닐라, 셰리 오크의 깊은 풍미와 함께 은은한 연기와 초콜릿 향이 감돕니다.","입안을 꽉 채우는 묵직한 바디감과 함께 말린 과일, 바닐라 크림, 복합적인 스파이스가 환상적인 조화를 이룹니다.",끝없이 이어지는 듯한 깊고 우아한 여운이 긴 여운을 남깁니다.,,4,2,4,3,5,시간이 빚어낸 궁극의 부드러움과 복합미,1,43,ai_estimated
White Horse,"몰트의 고소함과 함께 은은한 피트 스모크, 푸른 사과와 시트러스 향이 가볍게 감돕니다.","가볍고 깔끔한 목넘김 속에서 꿀의 단맛과 맥아의 풍미, 그리고 옅은 스모키함이 스칩니다.",드라이하면서도 깔끔한 스모키함이 산뜻하게 마무리됩니다.,,2,2,2,2,2,가볍게 즐기는 클래식 스카치 블렌디드,1,40,ai_estimated
Glen Grant 15 Year Old Batch Strength,"상큼한 레몬과 청사과, 배 등의 과일 향이 강렬하게 다가오며 꿀과 바닐라가 뒤따릅니다.","배치 스트렝스 특유의 묵직한 타격감과 함께 열대과일, 꿀, 진한 오크 스파이스가 폭발적으로 터집니다.",시트러스의 상큼함과 따뜻한 스파이스가 길고 강렬하게 여운을 남깁니다.,,3,1,5,4,4,과일 향의 폭발과 고도수의 강렬한 만남,1,50,ai_estimated
The Glenlivet 15 Year Old,버터와 바닐라의 풍부한 향에 프렌치 오크 특유의 은은한 스파이스와 고소한 견과류 향이 조화롭습니다.,"매우 부드럽고 크리미한 질감 속에서 달콤한 꿀, 망고 등 열대과일, 그리고 은은한 오크 터치가 느껴집니다.",달콤한 아몬드와 은은한 스파이스가 부드럽게 감싸며 마무리됩니다.,,4,1,4,2,3,프렌치 오크가 선사하는 크리미한 우아함,1,40,ai_estimated
Lagavulin 16 Year Old,"강렬한 피트 스모크와 요오드 향 뒤로 건포도, 무화과 같은 말린 과일의 달콤함과 바다가 연상되는 짭조름함이 느껴집니다.","묵직하고 강렬한 스모키함과 함께 셰리 통에서 온 풍부한 단맛, 건조된 과일, 몰트의 풍미가 묵직하게 밀려옵니다.",입안을 길게 감도는 깊은 피트 연기와 스파이스의 여운이 압도적입니다.,,3,5,3,3,5,아일라 피트 위스키의 거부할 수 없는 제왕,1,43,ai_estimated
Mr. Boston Straight Bourbon,"옥수수 푸딩, 가벼운 바닐라, 그리고 옥수수 전분의 소박하고 직관적인 향이 감돕니다.","가벼운 바디감에 옥수수 시럽의 단맛, 약간의 곡물 풋내와 알코올 터치가 느껴집니다.","짧고 드라이하며, 은은한 달콤함이 가볍게 스쳐 지나갑니다.",,3,1,1,2,2,칵테일 베이스로 제격인 클래식 믹서,3,40,ai_estimated
Elijah Craig Straight Rye,"흑설탕의 진한 단맛과 함께 호밀 특유의 알싸한 허브, 후추, 시나몬 향이 복합적으로 다가옵니다.","풍부한 바닐라, 캐러멜의 달콤함 뒤로 호밀의 매콤한 스파이스와 오크 터치가 강렬한 타격감을 줍니다.",따뜻하고 스파이시한 여운이 길게 이어지며 드라이하게 마무리됩니다.,,3,1,2,5,4,달콤함과 알싸함의 완벽한 밸런스,1,47,ai_estimated
Bulleit Rye,"풍부한 호밀에서 오는 강한 스파이스와 함께 신선한 허브, 체리, 배의 향이 상쾌하게 어우러집니다.","입안을 때리는 토피, 꿀의 단맛과 후추, 시나몬, 정향 등 복합적인 향신료의 맛이 톡톡 깁니다.",토피와 따뜻한 스파이스가 길고 드라이하게 여운을 남깁니다.,,2,1,3,5,3,높은 호밀 비율이 선사하는 짜릿한 스파이스,1,45,ai_estimated
