standard_whisky_name,pitch
Arran Quarter Cask,"작은 오크통에서 폭발하는 강렬한 바닐라와 신선한 시트러스가 일품이에요, 파인애플의 달콤함과 후추 같은 스파이스가 미각을 확실히 깨워줍니다."
Arran Sauternes Cask Finish,"꿀에 절인 레몬과 백포도의 화사함이 터지는데, 백도의 진한 단맛에 상큼한 시트러스가 더해져 이거 한 잔이면 분위기가 확 살아납니다."
Auchentoshan American Oak,"코코넛 크림과 복숭아의 산뜻한 단맛이 가볍게 감돌아서, 부담 없이 즐길 아메리칸 스타일을 찾으신다면 딱이에요."
Aultmore 12 Year Old,청사과의 상큼함과 신선한 들꽃향이 입안을 싹 정돈해 줘서 산뜻하게 마시기 정말 좋습니다.
Aultmore 18 Year Old,꿀에 절인 과일의 깊은 단맛과 왁시한 노트가 어우러져 오랜 숙성의 진가를 보여줍니다.
Ballantine's 17 Year Old,"달콤한 꿀과 은은한 스모크, 그리고 바닐라가 균형을 이루는 블렌디드 위스키의 정석을 만나보세요."
Ballantine's 21 Year Old,"헤더꿀의 달콤함과 감미로운 감초, 토피의 풍미가 겹겹이 쌓이는 프리미엄의 깊이를 경험해보세요."
Ballantine's 23 Year Old,"잘 익은 사과의 과일향과 크리미한 꿀, 생강이 어우러진 완벽한 밸런스를 직접 느껴보세요."
Ballantine's 30 Year Old,"꿀과 바닐라, 플로럴한 노트가 벨벳처럼 부드럽게 감기는 끝없는 여운을 직접 느껴보세요."
Ballantine's Master's,"꿀에 절인 사과와 토피의 달콤함 뒤로 오렌지, 견과류의 진한 맛이 터져 나와서 밸런스가 확실해요."
Ballantine's Single Malt Glenburgie 12 Year Old,신선한 배와 사과 향에 크리미한 질감이 더해져서 깔끔하고 달콤한 여운을 찾으신다면 단연코 이거예요.
Ballantine's Single Malt Glenburgie 15 Year Old,과일 과즙의 달콤함과 견과류의 고소함이 완벽한 밸런스를 이뤄서 화사한 싱글몰트를 원한다면 무조건 이거예요.
Ballantines 17,크리미한 바닐라와 잘 익은 사과향에 이어지는 꿀 같은 단맛과 은은한 스모크의 완벽한 균형을 경험해보세요.
Ballantines 21,벨벳처럼 부드러운 질감 속에서 감미로운 바닐라와 상큼한 감귤류의 풍미가 어우러지는 우아함을 만나보세요.
Ballantines 30,농축된 꿀과 바닐라 크림이 묵직한 바디감으로 채워지는 순간 시간이 빚어낸 궁극의 부드러움을 알게 됩니다.
Balvenie 12 Year Old The Sweet Toast of American Oak,"진한 바닐라와 버터스카치의 달콤함이 입안 가득 퍼지는 순간, 왜 아메리칸 오크인지 바로 수긍하게 됩니다."
Balvenie 15,진한 꿀과 신선한 과일의 단맛 뒤에 이어지는 오크 스파이스의 깊이감이 아주 일품입니다.
Balvenie 16 Year Old French Oak,"자몽과 피오니 꽃, 생강의 터치가 어우러진 청량하고 상큼한 여운이 기분 전환용으로 정말 완벽해요."
Balvenie 18,"오렌지 껍질과 바닐라, 과일 케이크의 풍미가 어우러진 정교한 밸런스를 놓치지 마세요."
Balvenie Caribbean Cask 14 Year Old,"열대 과일 향과 크리미한 바닐라, 달콤한 캐러멜이 입안 가득 퍼지는 매력에 곧 빠지실 겁니다."
Balvenie DoubleWood 12 Year Old,열대과일과 꿀의 달콤함이 카라멜과 섞여 혀에서 춤추듯 퍼지고 마시멜로 여운으로 마무리되어 실패 없는 선택이 됩니다.
Balvenie Madeira Cask 15 Year Old,"상큼한 시트러스와 신선한 포도 향 뒤로 꿀을 바른 듯한 달콤함이 부드럽게 감돌아요, 마데이라 와인의 생동감 넘치는 우아함을 직접 느껴보세요."
Balvenie PX Cask 18 Year Old,무화과와 건포도의 진득한 단맛에 벨벳 같은 질감이 더해져 셰리 위스키의 진수를 보여줍니다.
Balvenie PortWood 21 Year Old,"익은 복숭아와 붉은 과일, 포트 와인의 꿀 같은 단맛이 아주 부드럽고 길게 이어집니다."
Balvenie TUN 1509 Batch 6,꿀 바른 과일 타르트와 토피가 층층이 쌓여 발베니 마스터의 역작다운 극상의 부드러움을 줍니다.
Balvenie Tasting Class,"풍부한 꿀 향과 바닐라, 오렌지 껍질의 아로마가 크리미한 바닐라와 따뜻한 스파이스로 이어져 발베니의 클래식을 보여줍니다."
BenRiach The Original 10 Year Old,사과와 복숭아 같은 과일 맛에 바닐라의 고소함이 어우러져 산뜻하게 즐기기 좋은 스페이사이드 위스키예요.
Benriach 12 Year Old,"메이플 시럽과 코코아, 오렌지 껍질의 복합적인 향 뒤로 구운 포도와 생강의 맛이 층층이 펼쳐져요, 다채로운 과일 맛을 원하신다면 꼭 집어 가세요."
Benromach 10 Year Old,"토피와 바닐라 뒤로 은은하게 배어나는 피트 스모크가 정말 매력적이에요, 라즈베리와 크리미한 맥아의 밸런스가 아주 훌륭한 위스키입니다."
Benromach 12 Year Old,"잘 익은 과일의 달콤함과 토피, 백후추 같은 가벼운 스파이스가 완벽해요, 크리미한 바닐라에 매력적인 피트감이 녹아드는 순간을 놓치지 마세요."
Benromach 15 Year Old,"풍부한 셰리 노트와 사과, 오렌지 껍질에 벤로막 특유의 깊은 스모크가 더해졌어요, 세월이 빚어낸 따뜻한 셰리와 스모크의 진수를 보여드립니다."
Benromach 21 Year Old,"묵직한 오크 향과 진한 과일잼, 가죽의 우아함이 남다릅니다, 잘 익은 자두와 바닐라 커스터드가 어우러진 길고 깊은 여운을 꼭 경험해 보세요."
Black Circle MAX,"특별히 더 말씀드릴 정보는 없지만, 궁금하시면 매장 카운터에서 바로 확인해 드리겠습니다."
Black Nikka Rich Blend,진한 건포도와 초콜릿의 묵직한 단맛을 좋아하신다면 이 풍성한 재팬 블렌디드를 놓치지 마세요.
Bladnoch 16 Year Old Oloroso Sherry Cask,올로로소 셰리 캐스크가 선사하는 진한 건포도와 초콜릿의 화려한 풍미에 확실히 반하실 겁니다.
Blanton's Gold,"다크 초콜릿과 크리미한 토피, 오렌지 껍질이 어우러져 황금빛 밸런스가 무엇인지 보여줍니다."
Blanton's Master Class Single Barrel,진한 캐러멜과 꿀의 단맛 뒤로 옥수수의 고소함이 스파이스와 함께 묵직하게 치고 올라옵니다.
Blanton's Single Barrel,달콤한 캐러멜과 옥수수의 풍미가 입안에서 부드럽게 녹아드는 싱글 배럴의 정점을 만나보세요.
Blanton's Straight From The Barrel,65도의 도수에서 터져 나오는 진한 버터스카치와 묵직한 스파이스의 폭발적인 풍미를 놓치지 마세요.
Bowmore 12 Year Old,"다크 초콜릿의 단맛과 따뜻한 피트 연기가 훌륭한 균형을 이뤄서, 밸런스 좋은 피트를 찾으신다면 이거예요."
Bowmore 15 Year Old,"시럽처럼 달콤한 무화과와 우아한 토탄 연기가 매끄럽게 얽혀서, 셰리와 피트의 조합을 좋아하신다면 무조건 마셔봐야 해요."
Bowmore 16 Year Old Ruby Port,"달콤한 베리류와 다크 초콜릿이 스모키함과 깊이 있게 어우러져, 포트 와인 캐스크의 매력을 진하게 느낄 수 있어요."
Bowmore 18 Year Old,"과일 케이크 같은 달콤함 뒤로 묵직한 초콜릿과 피트가 완벽한 균형을 이뤄서, 시간이 완성한 깊이감을 선물해요."
Bowmore 21 Year Old Aston Martin Masters Selection,신선한 가죽 향과 메이플 시럽 뒤로 터지는 세련된 토탄의 무게감을 좋아하신다면 이거 하나로 끝납니다.
Bulleit Bourbon 10 Year Old,고숙성에서 우러나오는 진한 캐러멜과 구운 옥수수의 묵직한 풍미가 50도 넘는 도수와 만나 스파이시하게 타오릅니다.
Bulleit Rye,토피와 꿀의 단맛에 후추와 시나몬 같은 복합적인 향신료가 입안을 짜릿하게 때리는 맛을 경험해보세요.
Cadenhead's An Orkney 6 Year Old,캐스크 스트렝스의 강렬함 속에서 터지는 소금기와 왁시한 텍스처가 원시적인 매력을 줘요.
Campbeltown Loch,"꿀의 단맛과 짭조름한 해풍이 피트 스모크와 함께 터져서, 캠벨타운의 모든 매력이 이 한 병에 담겨 있어요."
Caol Ila 12 Year Old,훈연된 베이컨의 짭조름한 풍미와 부드러운 단맛이 만나 완성된 우아한 연기를 경험해보세요.
Chivas Regal 12 Year Old,"크리미한 질감 속에서 터지는 꿀과 사과, 바닐라의 풍미를 맛보면 왜 전 세계가 사랑하는지 바로 수긍하게 될 거예요."
Chivas Regal 13 Year Old Mizunara,과일 잼의 달콤함과 미즈나라 오크 특유의 이국적인 향신료가 만들어내는 매혹적인 조합입니다.
Chivas Regal 15 Year Old,꼬냑 캐스크 숙성 덕분에 시나몬과 건포도의 풍미가 벨벳처럼 부드럽고 달콤하게 입안을 가득 채워줄 거예요.
Chivas Regal 18 Year Old,"벨벳처럼 부드러운 질감에 진한 초콜릿과 달콤한 스모크가 조화를 이루는데, 이 우아한 럭셔리 블렌디드는 직접 경험해봐야 합니다."
Chivas Regal 18 Year Old Mizunara,다크 초콜릿의 깊이에 미즈나라 오크의 백단향이 더해져 벨벳처럼 부드러운 여운을 줍니다.
Clynelish 14 Year Old,독특한 왁시한 질감과 짭조름한 해풍이 어우러지는 북부 위스키 특유의 개성을 꼭 경험해 보세요.
Cutty Sark Prohibition Edition,크리미한 토피와 캐러멜의 달콤함 뒤로 묵직한 스파이시함이 50도의 도수로 강렬하게 다가옵니다.
Daftmill 2011 Winter Batch,청사과와 마시멜로 같은 달콤함이 섬세한 곡물 맛과 어우러져 로랜드 농장 맥아의 진수를 보여줍니다.
Dalmore Cigar Malt Reserve,꿀에 절인 과일과 에스프레소의 강렬한 바디감에 오렌지 마말레이드가 겹쳐지는 웅장한 풍미를 느껴보세요.
Dalwhinnie 15 Year Old,꿀처럼 부드럽게 녹아드는 단맛과 청량한 이탄의 여운이 지친 하루를 포근하게 채워줄 거예요.
Dewar's 12 Year Old,꿀에 절인 건포도와 은은한 바닐라 향이 감도는 부드러운 스카치를 찾으신다면 이보다 좋은 선택은 없습니다.
Dewar's 18 Year Old,구운 사과와 캐러멜이 크리미한 질감 속에서 부드럽고 길게 이어지는 이 18년 숙성의 진가를 직접 경험해보세요.
Early Times,달콤한 옥수수 시럽과 풋고추 같은 알싸함이 스치는 경쾌한 버번이라 언제든 가볍게 즐기기 좋습니다.
Edradour 12 Year Old Oloroso Sherry Butts,"시럽에 절인 과일과 견과류의 진득한 단맛이 묵직한 바디감으로 전해져서, 전통 셰리의 진수를 찾는다면 단연코 이겁니다."
Edradour No.2 Inaugural Release 7 Year Old,"강렬한 셰리와 진한 토피의 묵직함이 압도적이라, 작은 증류소에서 빚어낸 응축된 맛을 원하신다면 꼭 마셔봐야 해요."
Elements of Islay Peat,의약품 같은 피트 스모크와 짭조름한 해초가 뿜어내는 강렬한 스모키함에 한 번 맛보면 헤어나오기 힘들어요.
Elijah Craig Straight Rye,흑설탕의 진한 단맛 뒤로 호밀의 매콤한 스파이스와 오크 터치가 주는 강렬한 타격감을 즐겨보세요.
Evan Williams Black,바닐라와 캐러멜의 달콤함 뒤로 이어지는 설탕에 절인 과일의 맛을 보면 왜 데일리 버번의 정석인지 아실 겁니다.
Finlaggan Cask Strength,강렬한 피트 스모크와 높은 도수의 타격감이 폭발해서 아일라 마니아라면 무조건 잡아야 해요.
Four Roses Single Barrel,다크 체리와 메이플 시럽의 진한 과일 향 뒤로 터지는 스파이시한 꽉 찬 바디감을 즐겨보세요.
Fuji Single Malt,화사한 배와 복숭아 향에 이어 꿀과 바닐라가 크리미하게 퍼지는 이 순수한 과일 바구니 같은 맛을 만나보세요.
Glen Garioch 15 Year Old,구운 보리의 고소함 뒤로 오렌지 마말레이드의 단맛과 묵직한 스파이스가 겹겹이 밀려오는 이 맛을 놓치면 후회합니다.
Glen Garioch 15 Year Old Cask Strength,"잘 익은 과일의 달콤함과 꿀, 톡 쏘는 스파이스가 힘차게 어우러지는 묵직한 맥아의 맛을 찾으신다면 이거예요."
Glen Grant 10 Year Old,"신선한 사과와 레몬 껍질의 상큼함이 입안을 채우는 순간, 가볍고 청량한 스카치의 매력에 푹 빠지실 겁니다."
Glen Grant 12,신선한 사과와 배 과즙의 산뜻한 단맛으로 화사한 오후를 시작해보세요.
Glen Grant 12 Year Old,"달콤한 사과와 꿀, 크리미한 바닐라가 깨끗하고 청량하게 펼쳐지는 이 산뜻한 과일 향에 분명 반하실 겁니다."
Glen Grant 15 Batch Strength,높은 도수에서 터져 나오는 폭발적인 과일 풍미와 묵직한 바디감을 경험해보세요.
Glen Grant 15 Year Old Batch Strength,상큼한 레몬과 청사과 향이 50도 고도수의 묵직한 타격감과 함께 폭발적으로 터지는 매력을 놓치지 마세요.
Glen Grant 18 Year Old,"바닐라와 달콤한 꿀, 건포도의 진한 단맛에 견과류의 고소함까지 더해진 우아한 18년의 정수를 느껴보세요."
Glen Grant Arboralis Cask Strength,"신선한 배와 사과 풍미 뒤로 묵직한 몰트와 스파이스가 터져서, 원초적인 강렬함을 찾으시는 분께 제격이에요."
Glen Moray,달콤한 바닐라와 싱그러운 사과향이 부담 없이 퍼져서 가볍게 비우기 딱 좋은 데일리예요.
Glen Scotia 12 Year Old,짭조름한 바다 내음과 오렌지 껍질의 상큼함이 빚어낸 독보적인 밸런스를 즐겨보세요.
Glen Scotia Double Cask,"꿀과 오렌지 잼의 달콤함 뒤로 짭조름한 해풍이 치고 나와서, 캠벨타운 특유의 매력을 확실히 느낄 수 있어요."
Glen Scotia Victoriana,높은 도수가 주는 묵직한 바디감과 함께 다크 초콜릿과 스모크가 강렬하게 터져 나와서 찐한 캠벨타운의 매력을 제대로 느낄 수 있습니다.
Glen Scotia Victoriana Cask Strength,"묵직한 오크와 갯바람 뉘앙스 뒤로 다크 초콜릿과 스파이스가 혀를 감싸며, 드라이하고 깊은 인상의 여운을 남깁니다."
GlenDronach 200th Anniversary Boynsmill House Edition 14 Year Old,"건포도와 무화과, 다크 초콜릿의 진한 셰리 풍미가 짙게 피어오르는 기념작으로 풍성한 맛을 보장합니다."
Glenallachie 10 CS,"버터스카치와 건자두, 모카 커피의 묵직한 풍미가 도수를 뛰어넘어 폭발적으로 다가옵니다."
Glenallachie 12,"신선한 오크와 건포도, 다크초콜릿의 진득한 단맛에 시나몬과 넛맥 스파이스가 탄탄한 구조를 잡아주는 헤비 셰리 스타일입니다."
Glenallachie 15,"바나나, 오렌지 껍질, 무화과, 그리고 진한 다크 초콜릿이 크리미하게 퍼지는 완벽한 밸런스입니다."
Glenallachie 18,"말린 무화과와 마지판, 잘 익은 과일의 진하고 복합적인 풍미가 길게 이어지는 셰리의 진수입니다."
Glenallachie 25,빈티지 마말레이드와 다크 초콜릿의 깊은 단맛을 좋아하신다면 이 궁극의 셰리를 놓치지 마세요.
Glenallachie 8,"신선한 사과와 토피, 달콤한 건포도의 풍미가 활기차게 어우러지는 시그니처 단맛을 만나보세요."
Glendronach 12,"따뜻한 오크와 셰리 캐스크의 진한 단맛, 건포도 풍미가 크리미하게 어우러져 클래식한 셰리의 진수를 보여줍니다."
Glendronach 15,오렌지 마말레이드와 블랙커런트의 풍미가 진한 에스프레소 노트와 어우러지는 매혹적인 조화입니다.
Glendronach 18,꿀에 절인 과일과 브랜디에 적신 케이크의 묵직한 풍미가 오랜 시간 따뜻한 여운을 남깁니다.
Glendronach 21 Parliament,자두 잼의 진한 과일향에 초콜릿과 오랜 숙성의 부드러운 타닌이 더해진 셰리의 진수입니다.
Glendronach Ode to the Dark,"블랙체리와 당밀, 에스프레소의 어둡고 깊은 향이 극도로 리치하게 어우러져 진정한 셰리의 예술이 무엇인지 보여줍니다."
Glenfarclas 10 Year Old Cask Strength,"고도수의 짙은 셰리와 과일 케이크, 시나몬의 진한 풍미가 묵직하고 폭발적으로 다가오는 캐스크 스트렝스의 매력에 빠져보세요."
Glenfarclas 105,60도의 압도적인 도수 속에서 진한 셰리와 건과일의 맛이 강렬하게 폭발하는 진짜배기 셰리 폭탄을 경험해 보세요.
Glenfarclas 12 Year Old,신선한 과일과 달콤한 셰리 노트가 가볍고 깔끔하게 마무리되는 전통적인 스페이사이드의 정석입니다.
Glenfarclas 15 Year Old,입안 가득 퍼지는 진한 과일 케이크와 버터스카치의 묵직한 풍미를 좋아하신다면 무조건 마셔봐야 합니다.
Glenfarclas 25 Year Old,"럼레이즌과 블랙체리, 토스트 코코넛이 빚어내는 디저트 같은 풀바디의 셰리밤을 직접 경험해보세요."
Glenfiddich 12,"상큼한 배와 크림, 버터스카치의 조화로 언제 마셔도 기분 좋은 이 클래식한 과일향의 여운을 즐겨보세요."
Glenfiddich 12 Year Old,"배 통조림과 청사과, 버터스카치의 가벼운 향에 쌉싸름한 오크가 더해져 전 세계에서 사랑받는 입문용 싱글몰트의 정석을 보여줍니다."
Glenfiddich 14 Year Old Bourbon Barrel,"구운 사과와 진한 캐러멜, 그리고 아메리칸 오크의 크리미한 바닐라 단맛을 좋아하신다면 꼭 마셔봐야 해요."
Glenfiddich 14 Year Old Bourbon Barrel Reserve,풍부한 바닐라와 코코넛 향 뒤로 이어지는 황설탕과 토피의 부드러운 목넘김을 좋아하신다면 무조건 마셔봐야 합니다.
Glenfiddich 15 Solera,꿀과 바닐라에 셰리 캐스크의 스파이시한 단맛이 묵직하게 더해진 깊이 있는 맛을 직접 경험해보세요.
Glenfiddich 15 Year Old,"꿀과 바닐라, 짙은 다크 초콜릿이 과일 케이크와 만나 꿀처럼 달콤한 품격을 보여줘요, 첫 모금부터 깊은 조화로움에 반하실 겁니다."
Glenfiddich 18,구운 사과와 말린 무화과의 진한 단맛에 우아한 오크의 여운이 길게 이어지는 고급스러운 맛을 느껴보세요.
Glenfiddich 18 Year Old,구운 사과와 토피의 우아한 단맛이 드라이한 오크와 만나 18년의 깊이를 고스란히 보여줍니다.
Glenfiddich 21 Gran Reserva,"이국적인 바나나와 망고, 럼에 절인 과일의 풍미를 좋아하신다면 이거 하나로 충분합니다."
Glenfiddich 22 Gran Cortes,진한 캐러멜과 구운 과일이 벨벳 같은 질감으로 펼쳐지는 호화로운 맛에 매료되실 겁니다.
Glenfiddich 26 Grand Couronne,구운 페이스트리와 잘 익은 과일의 풍미가 디저트처럼 우아하게 어우러지는 럭셔리한 한 잔입니다.
Glenfiddich 30,"꿀과 다크 초콜릿, 셰리의 뉘앙스가 완벽한 균형을 이루는 글렌피딕의 정점을 경험해보세요."
Glenfiddich Grand Cortes,와인 캐스크에서 온 베리류의 화려한 단맛과 은은한 타닌감이 아주 우아한 조화를 이뤄요.
Glenglassaugh Sandend,"짭조름한 해풍과 트로피컬 과일, 크리미한 토피가 어우러져 입안을 부드럽게 감싸는 이국적인 맛을 느껴보세요."
Glengoyne 10 Year Old,청사과와 배의 과일 맛에 꿀의 달콤함이 더해진 이 부드러움은 논피트의 정석을 그대로 보여줍니다.
Glenmorangie 10 Year Old Original,"잘 익은 복숭아와 상큼한 감귤류, 크리미한 바닐라의 완벽한 밸런스가 하이랜드의 우아함을 증명합니다."
Glenmorangie Lasanta 12 Year Old,초콜릿으로 코팅된 건포도와 호두의 따뜻한 셰리 풍미를 좋아하신다면 무조건 마셔봐야 합니다.
Glenmorangie Quinta Ruban 14 Year Old,"민트와 초콜릿, 만다린 오렌지의 달콤새콤함이 어우러진 포트 와인 캐스크의 진득함을 놓치지 마세요."
Glenmorangie Signet,"녹아내리는 티라미수와 에스프레소, 강렬한 스파이스의 벨벳 같은 질감은 절대 잊지 못하실 거예요."
Glenmorangie The Nectar 16 Year Old,소테르누스 캐스크에서 온 진한 디저트 같은 달콤함과 레몬 타르트의 매력에 빠져보세요.
Glenmorangie The Original 12 Year Old,"오렌지와 허니, 크리미한 바닐라가 입안에서 감미롭게 녹아내리는 우아함을 직접 느껴보세요."
Glenrothes 15 Year Old,"셰리 통의 건포도와 오렌지 껍질, 견과류의 고소함이 크리미한 질감으로 부드럽게 감쌉니다."
Grant's Triple Wood,세 가지 목통이 만들어낸 부드러운 맥아의 단맛으로 부담 없이 가볍게 즐기기 좋습니다.
Hakkushu 18 Year Old,"청사과와 은은한 스모크의 조화가 끝내주는데, 청량한 숲속 같은 여운을 좋아하신다면 무조건 집어 가셔야 합니다."
Hakushu (NAS),청사과와 상큼한 시트러스 뒤로 다가오는 민트의 청량함과 은은한 스모크 조합이 정말 매력적이에요.
Hakushu 18 Year Old,"신선한 허브와 청사과, 은은한 피트 스모크가 배와 민트의 청량함과 어우러져 숲속 증류소의 상쾌함을 그대로 전해줍니다."
Hennessy VSOP,바닐라와 스파이시함이 어우러진 신선한 과일 아로마에 꿀과 설탕에 절인 과일의 풍미가 더해진 균형 잡힌 꼬냑이에요.
Hibiki 12 Year Old,"매화와 오렌지 껍질의 화사한 향 뒤로 커스터드 크림과 사과, 진저의 풍미가 부드럽게 조화를 이루는 프리미엄 블렌디드예요."
Hibiki 21 Year Old,"잘 익은 사과와 꿀, 미즈나라 오크의 향이 샌달우드와 허니컴의 달콤함과 만나 완벽한 조화를 이루는 우아한 오케스트라예요."
Hibiki 30 Year Old,"오랜 세월 숙성된 오크의 고풍스러운 아로마와 꿀, 화이트 초콜릿의 부드러운 풍미가 시간이 빚어낸 최고의 럭셔리를 선사합니다."
Hibiki Blender's Choice,붉은 베리류와 오렌지 껍질의 화사함 뒤로 크리미한 버터 캔디의 산미가 조화를 이루는 이 우아한 하모니는 꼭 소장하셔야 합니다.
Hibiki Japanese Harmony,"달콤한 꿀과 유자 시트러스, 은은한 꽃향이 어우러져 입문용으로 이만한 정석이 없습니다."
Highland Park 12 Year Old,허허니의 달콤함과 은은한 피트 스모크가 만들어내는 북유럽의 조화를 절대 놓치지 마세요.
Highland Park 12 Year Old Viking Honour,은은한 피트 스모크와 꿀의 달콤함이 완벽한 균형을 이뤄서 누구나 좋아할 만한 맛이에요.
Highland Park 25 Year Old,열대과일과 벌꿀의 달콤함 위로 겹겹이 쌓이는 웅장한 스모크의 여운을 직접 느껴보세요.
Ilpum Jinro Oak 43,오크통에서 온 부드러운 바닐라와 고소한 곡물의 풍미가 증류식 소주의 깔끔함을 완전히 바꿔놓습니다.
Inchfad,피트 스모크의 매력 뒤로 고소한 맥아와 과일의 단맛이 묵직하게 받쳐주는 개성 있는 피티드 싱글몰트입니다.
Inchgower,짭조름한 해양성 노트와 견과류의 고소함이 묘하게 섞여 아주 독특한 개성을 뽐내요.
Jack Daniel's Single Barrel Barrel Proof,압도적인 도수에서 터져 나오는 진한 캐러멜과 토피의 묵직한 단맛에 틀림없이 반하실 겁니다.
Jameson Standard,가볍고 신선한 과일 향과 고소한 견과류 풍미 덕분에 언제 마셔도 편안하게 즐기기 좋습니다.
Jim Beam Black Extra Aged,구운 오크와 다크 초콜릿이 더해져 더욱 깊고 진해진 바닐라 캐러멜의 단맛을 느껴보세요.
Jim Beam White Label,달콤한 옥수수와 바닐라의 친근한 단맛이 지배적이라 누구나 부담 없이 가볍게 즐기기 딱 좋습니다.
John Barr Reserve,은은한 캐러멜과 바닐라 향에 부드러운 단맛이 더해져 언제든 가볍게 즐기기 좋은 위스키입니다.
Johnnie Walker 15 Year Old Sherry Finish,진한 건포도와 다크 초콜릿 단맛 뒤에 이어지는 부드러운 스모크의 조화가 아주 매력적인 프리미엄이에요.
Johnnie Walker Black Label,토피 캔디의 달콤함과 그을린 오크의 피트 스모크가 완벽한 조화를 이루어 매일 마셔도 질리지 않는 기준점을 제시합니다.
Johnnie Walker Blonde,달콤한 바닐라와 밀크 캐러멜 맛에 산뜻한 열대 과일 향이 어우러져 하이볼용으로 이보다 상큼할 순 없어요.
Johnnie Walker Blue Label,벨벳 같은 바닐라와 장미 향으로 시작해 오렌지와 다크초콜릿으로 확장되며 은은한 스모키함이 우아한 여운을 남깁니다.
Johnnie Walker Double Black,진한 스모크와 크리미한 바닐라가 어우러진 이 묵직한 무게감을 꼭 느껴보세요.
Johnnie Walker Gold Label,크리미한 버터스카치와 꿀처럼 부드러운 황금빛 밸런스를 즐겨보세요.
Johnnie Walker Green 15,15년 숙성 원액이 선사하는 꿀과 과일의 다채로운 단맛을 직접 확인해보세요.
Johnnie Walker Green Label,싱그러운 풀잎 향과 쌉싸름한 다크 초콜릿의 다채로운 조화를 놓치지 마세요.
Johnnie Walker Red Label,톡 쏘는 스파이시함과 가벼운 스모크가 주는 역동적인 매력을 만나보세요.
Johnnie Walker Swing,셰리의 달콤함과 묵직한 몰트 풍미가 벨벳 같은 질감으로 어우러져 깊고 우아한 잔향을 선사합니다.
Johnnie Walker XR 21 Year Old Year of the Horse Edition,벨벳 같은 질감의 캐러멜과 말린 과일 풍미 뒤로 밀려오는 묵직한 스모크의 여운을 절대 놓치지 마세요.
Jura 18 Year Old,초콜릿과 커피의 쌉싸름함 뒤로 밀려오는 붉은 과일의 묵직한 풍미에 푹 빠지게 되실 거예요.
Jura Islander,꿀과 바닐라의 상큼한 시트러스 향에 부드러운 맥아의 단맛이 더해져 누구나 가볍고 산뜻하게 즐기기 좋습니다.
Jura The Bay,구운 사과와 부드러운 토피의 단맛 뒤로 은은한 바다 소금의 향이 어우러져 조화로운 섬 위스키의 정수를 보여줍니다.
Jura The Sound,헤이즐넛과 버터스카치의 깊은 맛에 고소하고 달콤한 넛티한 여운이 길게 이어져 밸런스가 정말 훌륭합니다.
Kavalan Concertmaster Port Cask Finish,딸기 잼과 캐러멜이 어우러지는 부드러운 과일 과즙의 단맛으로 가볍게 시작하고 싶을 때 제격입니다.
Kavalan Distillery Select No. 1,"화사한 망고와 패션프루트의 열대 과일 향이 코끝을 감도는 순간, 카발란 입문용으로 이보다 좋을 순 없습니다."
Kavalan Distillery Select No. 2,"풋사과와 바닐라, 오크의 풍미가 겹겹이 층을 이루며 복합적인 구조감을 선사하는 대만 싱글몰트입니다."
Kavalan Oloroso Sherry Oak,"진한 건포도와 짙은 초콜릿, 커피 원두의 풍미가 입안을 가득 채우는 이 묵직한 폭발력에 한 번 빠지면 헤어나오지 못합니다."
