slug,area,category,name_ko,name_zh,one_liner_zh,detail_zh,price_zh,hours,address_ko,address_zh,tip_zh,avoid_zh,vibe,photo,quiet,vibe_tag_zh,station_zh,walk_min_from_station,order,image,image_2,image_3,rating,source_url,verified_on
yeonnam-bangagan,yeonnam,cafe,연남방앗간,延南碾坊 (연남방앗간),老磨坊改的芝麻拿铁,韩屋磨坊改的咖啡厅，招牌是芝麻拿铁和韩式点心。可以带狗，本地人下午来坐着看书。,约 7000韩元/杯,12:00-21:30,서울 마포구 동교로29길 34,首尔麻浦区东桥路29街34,芝麻拿铁配韩式年糕，是这家的固定搭配。,,4,4,4,本地人认证,,6,3,yeonnam-bangagan.jpg,,,4.3,https://www.siksinhot.com/P/997002,2026-09-25
tuktuk-noodle-thai,yeonnam,restaurant,툭툭누들타이,TukTuk Noodle Thai,米其林推荐的泰式船面,延南最早火起来的泰餐，米其林指南推荐。船面和泰式炒河粉是必点，两个人人均两万韩元吃得很好。,人均 20000韩元,11:30-21:30 (15:00-17:30 休息),서울 마포구 성미산로 161-8,首尔麻浦区城美山路161-8,就在 Layered 隔壁，吃完饭直接去喝咖啡。,下午三点到五点半休息，别这个时段来。,4,3,3,本地人认证,,8,4,tuktuk-noodle-thai.jpg,,,4.4,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tuktuk-noodle-thai,2026-09-25
object-hongdae,hongdae,shop,오브젝트 홍대 본점,Object 弘大本店,韩国女生的文具和小物天堂,三层楼的设计选物店，本地独立设计师的文具、贴纸、包和小物。伴手礼在这里一站买齐。,免费入场，小物 5000韩元起,12:00-21:00,서울 마포구 와우산로35길 13,首尔麻浦区卧牛山路35街13,三楼常有独立作家快闪展，进门先看公告。,,4,4,3,本地人认证,,7,1,object-hongdae.jpg,,,4.4,https://triple.guide/attractions/5c459f47-1a32-4477-a81b-b0608bef02fd,2026-09-25
thanks-nature-cafe,hongdae,cafe,땡스네이쳐카페,Thanks Nature 羊咖啡,和两只羊一起喝咖啡,弘大老牌的羊咖啡厅，院子里养着两只羊。点一杯饮料就能进去摸羊，工作日下午人少。,人均 10000韩元,11:00-20:00 (19:30 最后点单),서울 마포구 홍익로 10 서교푸르지오 지하121호,首尔麻浦区弘益路10 西桥Prugio 地下121号,在商场地下一层，入口不太好找，跟着指示牌走。,周末下午要等位，摸羊也要排队。,4,5,2,出片,,3,2,thanks-nature-cafe.jpg,,,4.2,https://www.siksinhot.com/P/388500,2026-09-25
sangsangmadang,hongdae,spot,KT&G 상상마당 홍대,KT&G 想象庭院 弘大,弘大的独立文化地标,弘大街上的复合文化空间，一楼是设计小物商店，楼上有画廊和独立电影院。不买东西也值得进去逛。,免费入场,10:00-23:00 (各楼层不同),서울 마포구 어울마당로 65,首尔麻浦区御乙庭院路65,画廊经常有免费展，进门先看当期海报。,,4,4,3,极简,,6,3,sangsangmadang.jpg,,,4.3,https://www.sangsangmadang.com/main/HD,2026-09-25
hongdae-busking-street,hongdae,spot,홍대 걷고싶은거리 (버스킹),弘大步行街 · 街头表演,天黑以后弘大才开始,傍晚以后整条街是街头乐队、舞团和直播。想看前排要早点站位，周五周六最热闹。,免费,傍晚至深夜,서울 마포구 어울마당로 일대,首尔麻浦区御乙庭院路一带,从9号出口出来一路走到想象庭院，沿路都是表演。,周末人非常多，包包背前面。,4,4,1,本地人认证,,3,4,hongdae-busking-street.jpg,,,4.3,https://kr.trip.com/moments/theme/poi-hongdae-street-144751336-guides-993135/,2026-09-25
dosan-park,dosan,spot,도산공원,岛山公园,狎鸥亭的安静角落,名牌店中间的一小片林子，本地女生逛完店来这里坐一会。秋天银杏很出片。,免费,全天开放(纪念馆 10:00-18:00),서울 강남구 도산대로45길 20,首尔江南区岛山大路45街20,从这里往 Haus Dosan 走五分钟，路上全是品牌店。,,4,4,5,松弛感,,10,1,dosan-park.jpg,,,4.4,https://mediahub.seoul.go.kr/archives/2007326,2026-09-25
haus-dosan,dosan,beauty,하우스 도산 (젠틀몬스터·탬버린즈),Haus Dosan · Gentle Monster,像逛美术馆的买墨镜,Gentle Monster 的旗舰空间，每层都是装置艺术。四楼是 Tamburins 香氛，买手霜和香水的人都在这。,免费入场，Tamburins 手霜 约 3万韩元,11:00-21:00 全年无休,서울 강남구 압구정로46길 50,首尔江南区狎鸥亭路46街50,先上四楼 Tamburins 试香，再下楼看装置，人少的时候好拍。,周末下午人多，装置前排队拍照。,5,5,3,极简,,8,2,haus-dosan.jpg,,,4.5,https://www.gentlemonster.com/kr/stories/haus-dosan,2026-09-25
london-bagel-museum-dosan,dosan,bakery,런던베이글뮤지엄 도산점,London Bagel Museum 岛山店,首尔最难排的贝果,早上八点开门就有人排。葱花奶油芝士贝果是招牌，用远程排队 App(CatchTable)能省半小时。,人均 15000韩元,08:00-18:00 全年无休,서울 강남구 언주로168길 33,首尔江南区彦州路168街33,先在 CatchTable 取号再去逛 Haus Dosan，轮到了再回来。,周末十点以后基本要等一小时以上。,4,5,1,出片,,8,3,london-bagel-museum-dosan.jpg,,,4.3,https://www.siksinhot.com/P/1444441,2026-09-25
leeum-museum,hannam,spot,리움미술관,Leeum 三星美术馆,汉南的安静一上午,三星的私人美术馆，建筑本身就值得看。常设展免费但要提前预约，周一闭馆。,常设展免费(特展另收),10:00-18:00 周一休 (17:30 停止入场),서울 용산구 이태원로55길 60-16,首尔龙山区梨泰院路55街60-16,提前14天在官网 ticket.leeum.org 预约，当天很难现场进。,,5,5,5,极简,,7,1,leeum-museum.jpg,,,4.7,https://www.leeumhoam.org/leeum/info/visit,2026-09-25
passion5,hannam,bakery,패션5,Passion 5,汉南的早餐从这里开始,SPC 旗下的大型烘焙店，早上七点半开门。巧克力区、面包区、咖啡区分开，选择多得像百货公司。,人均 12000韩元,07:30-22:00,서울 용산구 이태원로 272,首尔龙山区梨泰院路272,看 Leeum 之前来这吃早餐，步行五分钟。,,4,4,3,本地人认证,,3,2,passion5.jpg,,,4.3,https://www.siksinhot.com/P/136072,2026-09-25
